Bitcoin,"$10,488.06"
Ethereum,$339.47
Tether,$1.00
XRP,$0.232811
Bitcoin Cash,$215.18
Polkadot,$4.08
Binance Coin,$23.74
Crypto.com Coin,$0.152033
Litecoin,$44.85
Chainlink,$8.16
Bitcoin SV,$153.31
Cardano,$0.081056
USD Coin,$1.00
EOS,$2.57
TRON,$0.025222
Monero,$91.00
Tezos,$2.04
Neo,$21.08
Stellar,$0.071349
UNUS SED LEO,$1.24
NEM,$0.107608
Huobi Token,$4.60
Dai,$1.01
Cosmos,$4.18
Wrapped Bitcoin,"$10,500.16"
VeChain,$0.012133
yearn.finance,"$24,640.97"
IOTA,$0.247049
Dash,$67.75
Aave,$0.485516
Ethereum Classic,$4.96
UMA,$10.14
Zcash,$53.09
TrueUSD,$1.00
THETA,$0.576070
Maker,$450.83
Uniswap,$4.52
Ontology,$0.627469
OMG Network,$3.09
Binance USD,$1.00
Synthetix Network Token,$4.12
DigiByte,$0.028430
OKB,$6.16
Compound,$140.57
HedgeTrade,$1.07
FTX Token,$3.58
Basic Attention Token,$0.227445
Dogecoin,$0.002615
Celo,$2.56
Algorand,$0.298301
BitTorrent,$0.000300
Kusama,$34.75
0x,$0.370416
Energy Web Token,$8.88
Loopring,$0.230874
Waves,$2.41
Paxos Standard,$1.00
Hyperion,$0.597203
ICON,$0.406017
Qtum,$2.32
NXM,$38.98
Celsius,$0.781235
Kyber Network,$0.915899
ABBC Coin,$0.286497
Hedera Hashgraph,$0.030898
Ren,$0.189520
SushiSwap,$1.32
Lisk,$1.23
ZB Token,$0.332638
Augur,$13.84
HUSD,$1.00
Zilliqa,$0.013973
Decred,$11.62
Bitcoin Gold,$7.74
Ocean Protocol,$0.366982
Enjin Coin,$0.157130
Band Protocol,$6.02
Revain,$0.010547
DFI.Money,"$3,057.40"
Terra,$0.303103
Siacoin,$0.002596
Elrond,$8.42
DxChain Token,$0.002226
Solana,$2.93
Reserve Rights,$0.011969
Decentraland,$0.074618
Orchid,$0.289382
CyberVein,$0.100004
Aragon,$3.17
Blockstack,$0.167971
Avalanche,$4.23
Ampleforth,$0.710317
Arweave,$3.08
Quant,$8.65
Balancer,$14.49
Bitcoin Diamond,$0.536191
Nano,$0.733031
Ravencoin,$0.013840
Nervos Network,$0.004636
Bytom,$0.069266
Numeraire,$30.36
The Midas Touch Gold,$0.017677
Serum,$1.83
Flexacoin,$0.008002
Golem,$0.089184
Swipe,$1.20
Fantom,$0.041009
IOST,$0.005661
JUST,$0.036827
KuCoin Shares,$1.03
Holo,$0.000488
MonaCoin,$1.23
Divi,$0.041558
Status,$0.022519
Helium,$1.76
iExec RLC,$0.919541
Matic Network,$0.019241
BitShares,$0.024323
Kava.io,$2.08
Nexo,$0.122367
Komodo,$0.565275
MCO,$4.24
Verge,$0.004043
Storj,$0.327077
Steem,$0.160941
xDai,$22.32
Curve DAO Token,$1.04
TomoChain,$0.817353
PAX Gold,"$1,896.93"
THORChain,$0.362738
Ultra,$0.151727
OriginTrail,$0.175390
Utrust,$0.125432
RSK Infrastructure Framework,$0.086207
HyperCash,$1.24
WAX,$0.041376
Horizen,$5.54
Velas,$0.039098
Ardor,$0.055398
Bancor,$0.779655
SwissBorg,$0.074014
Chiliz,$0.010776
aelf,$0.095378
Hive,$0.159228
Electroneum,$0.004799
Handshake ,$0.154025
MXC,$0.018328
Gnosis,$42.50
WaykiChain,$0.246412
Energi,$1.41
GateToken,$0.538479
Zcoin,$4.02
SingularityNET,$0.052181
Unibright,$0.301272
Fetch.ai,$0.053556
TrustSwap,$0.595516
v.systems,$0.019381
Stratis,$0.402658
MaidSafeCoin,$0.088199
Insolar,$0.391368
Aurora,$0.005975
Kleros,$0.071376
IoTeX,$0.007916
Aion,$0.081574
Melon,$29.88
Aeternity,$0.115860
IRISnet,$0.044271
STASIS EURO,$1.15
Ark,$0.291729
ShareToken,$0.025300
Uquid Coin,$3.64
Enigma,$0.455771
Power Ledger,$0.082199
Theta Fuel,$0.008939
SOLVE,$0.100564
DAD,$0.250524
Harmony,$0.005327
Pundi X,$0.000141
Elastos,$1.85
Super Zero Protocol,$0.107715
Wanchain,$0.249146
GXChain,$0.474031
Orbs,$0.014514
Ankr,$0.005169
SUN,$17.38
Tellor,$19.47
Syscoin,$0.048260
bZx Protocol,$0.203582
Origin Protocol,$0.218211
Switcheo,$0.034051
Haven Protocol,$2.05
Digitex Futures,$0.030648
Xensor,$0.005998
Thunder Token,$0.004689
Loki,$0.545641
Wirex Token,$0.009702
Travala.com,$0.619669
BHEX Token,$0.132997
Waltonchain,$0.377872
Hxro,$0.168919
Advanced Internet Blocks,$0.045276
HEX,$0.003438
INO COIN,$2.39
Zelwin,$7.12
Counos X,$20.42
Insight Chain,$0.979743
Creditcoin,$0.588723
BitcoinPoS,$75.04
TNC Coin,$0.098810
Homeros,$0.709272
MINDOL,$1.12
ThoreCoin,"$2,041.92"
Largo Coin,$10.17
Sologenic,$0.855872
STPAY,$35.86
botXcoin,$0.083947
BeautyPayCoin,$?
Cryptonex,$1.59
Counos Coin,$5.92
Centrality,$0.070944
Darma Cash,$0.391903
Idea Chain Coin,$1.84
Beldex,$0.082499
DeFiChain,$0.240849
Baer Chain,$0.426002
Bitball Treasure,$167.26
Livepeer,$3.32
Attila,$0.151221
Qcash,$0.147459
Mixin,$132.18
TerraKRW,$0.000855
IZE,$0.016355
WhiteCoin,$0.251993
NewYork Exchange,$8.84
Tap,$0.051031
XinFin Network,$0.005054
Poseidon Network,$0.028579
NEST Protocol,$0.035893
Metaverse Dualchain Network Architecture,$0.003291
Huobi BTC,"$10,565.35"
8X8 PROTOCOL,$0.169396
Vitae,$2.62
1irstcoin,$1.34
AXEL,$0.184413
S4FE,$0.051136
Joule,$0.042183
Tratin,$0.000407
VestChain,$0.004929
NerveNetwork,$0.169027
MimbleWimbleCoin,$3.68
Darwinia Network,$0.060234
Bankera,$0.001364
Breezecoin,$0.347969
Bitbook Gambling,$0.095546
Meme,$878.33
BTU Protocol,$0.359410
Neutrino USD,$0.989771
FABRK,$0.006441
Ultiledger,$0.015584
IDEX,$0.056358
UNI COIN,$0.498549
Kcash,$0.065943
KardiaChain,$0.016654
Nectar,$0.185506
CONUN,$0.010192
USDK,$1.00
XeniosCoin,$0.372276
BitMax Token,$0.042282
Bonorum,$47.09
ThoreNext,$0.007953
Metacoin,$0.099946
ExtStock Token,$0.035586
The Sandbox,$0.045187
DeviantCoin,$0.761011
TROY,$0.002920
PlayFuel,$0.051918
PLATINCOIN,$2.56
Streamr,$0.036585
Huobi Pool Token,$0.004890
WINk,$0.000080
PRIZM,$0.011238
Voyager Token,$0.109613
Bytecoin,$0.000132
Redd,$0.000854
Chimpion,$0.762297
NULS,$0.244151
CryptalDash,$0.023976
Sora,$70.64
Crypterium,$0.241706
Zynecoin,$1.08
WOM Protocol,$0.237130
Hashgard,$0.000255
Native Utility Token,$23.65
Massnet,$0.277469
CRYPTO20,$0.579433
Nash Exchange,$0.811952
Egoras,$0.000357
Cortex,$0.091389
RedFOX Labs,$0.167752
sUSD,$1.02
The Transfer Token,$0.773741
Level01,$0.142157
PIVX,$0.391961
Rocket Pool,$2.17
NOIA Network,$0.069233
Orion Protocol,$2.23
BitcoinHD,$3.60
ChainX,$3.17
YFValue,$6.66
Ripio Credit Network,$0.041246
MX Token,$0.131083
STEM CELL COIN,$0.064373
COTI,$0.037406
Dragonchain,$0.056290
Everus,$0.045060
Cryptoindex.com 100,$0.337492
Hellenic Coin,$0.304313
WazirX,$0.091508
Beam,$0.292960
VeThor Token,$0.000751
Molecular Future,$0.243271
AgaveCoin,$0.052948
Unitrade,$0.870425
Akropolis ,$0.009960
ARPA Chain,$0.023671
Bluzelle,$0.083532
FunFair,$0.003115
Darico Ecosystem Coin,$0.278345
BigONE Token,$0.002134
Stakenet,$0.183014
Loom Network,$0.019964
Newscrypto,$0.205507
BDCC Bitica COIN,$5.69
Bloomzed Token,$?
Request,$0.019315
TrueChain,$0.245023
Metal,$0.295407
Polymath,$0.036597
Buggyra Coin Zero,$0.009347
Elamachain,$0.026938
Cindicator,$0.009550
ERC20,$0.016633
Proton,$0.011372
Nimiq,$0.002883
Ergo,$0.740823
BORA,$0.026630
Sentivate,$0.006476
Nestree,$0.016429
SaluS,$17.51
Civic,$0.025973
Everipedia,$0.001831
DOS Network,$0.131736
Fusion,$0.375787
