Bitcoin,https://coinmarketcap.com/currencies/bitcoin/,"10,95317$"
Ethereum,https://coinmarketcap.com/currencies/ethereum/,38493$
Tether,https://coinmarketcap.com/currencies/tether/,100$
XRP,https://coinmarketcap.com/currencies/xrp/,0251818$
Polkadot,https://coinmarketcap.com/currencies/polkadot-new/,527$
Bitcoin Cash,https://coinmarketcap.com/currencies/bitcoin-cash/,23603$
Binance Coin,https://coinmarketcap.com/currencies/binance-coin/,2798$
Chainlink,https://coinmarketcap.com/currencies/chainlink/,1073$
Crypto.com Coin,https://coinmarketcap.com/currencies/crypto-com-coin/,0166734$
Litecoin,https://coinmarketcap.com/currencies/litecoin/,4882$
Bitcoin SV,https://coinmarketcap.com/currencies/bitcoin-sv/,16361$
Cardano,https://coinmarketcap.com/currencies/cardano/,0092873$
EOS,https://coinmarketcap.com/currencies/eos/,273$
USD Coin,https://coinmarketcap.com/currencies/usd-coin/,100$
TRON,https://coinmarketcap.com/currencies/tron/,0029023$
Tezos,https://coinmarketcap.com/currencies/tezos/,252$
Neo,https://coinmarketcap.com/currencies/neo/,2529$
Stellar,https://coinmarketcap.com/currencies/stellar/,0079624$
Monero,https://coinmarketcap.com/currencies/monero/,9349$
UNUS SED LEO,https://coinmarketcap.com/currencies/unus-sed-leo/,119$
Huobi Token,https://coinmarketcap.com/currencies/huobi-token/,490$
Cosmos,https://coinmarketcap.com/currencies/cosmos/,501$
yearn.finance,https://coinmarketcap.com/currencies/yearn-finance/,"33,44928$"
VeChain,https://coinmarketcap.com/currencies/vechain/,0015191$
NEM,https://coinmarketcap.com/currencies/nem/,0108498$
Uniswap,https://coinmarketcap.com/currencies/uniswap/,552$
Wrapped Bitcoin,https://coinmarketcap.com/currencies/wrapped-bitcoin/,"10,95679$"
IOTA,https://coinmarketcap.com/currencies/iota/,0276181$
Aave,https://coinmarketcap.com/currencies/aave/,0580780$
UMA,https://coinmarketcap.com/currencies/uma/,1295$
Dash,https://coinmarketcap.com/currencies/dash/,7290$
Dai,https://coinmarketcap.com/currencies/multi-collateral-dai/,102$
Ethereum Classic,https://coinmarketcap.com/currencies/ethereum-classic/,516$
Zcash,https://coinmarketcap.com/currencies/zcash/,5898$
Ontology,https://coinmarketcap.com/currencies/ontology/,0829567$
TrueUSD,https://coinmarketcap.com/currencies/trueusd/,100$
Maker,https://coinmarketcap.com/currencies/maker/,49610$
THETA,https://coinmarketcap.com/currencies/theta/,0569548$
OMG Network,https://coinmarketcap.com/currencies/omg/,331$
Synthetix Network Token,https://coinmarketcap.com/currencies/synthetix-network-token/,467$
Compound,https://coinmarketcap.com/currencies/compound/,16004$
Kusama,https://coinmarketcap.com/currencies/kusama/,4673$
Binance USD,https://coinmarketcap.com/currencies/binance-usd/,100$
HedgeTrade,https://coinmarketcap.com/currencies/hedgetrade/,101$
Algorand,https://coinmarketcap.com/currencies/algorand/,0353418$
OKB,https://coinmarketcap.com/currencies/okb/,619$
Basic Attention Token,https://coinmarketcap.com/currencies/basic-attention-token/,0252149$
FTX Token,https://coinmarketcap.com/currencies/ftx-token/,389$
